LABELS;S_0;S_4;S_5;S_6;S_1;S_9;C_0;C_9;C_4;S_8;C_1;C_6;S_3;C_5;S_2;S_7;C_8;C_2;C_3;C_7
JOB ID;0;4;5;6;1;9;0;9;4;8;1;6;3;5;2;7;8;2;3;7
EVENT TYPE;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;1;1;1;1
TIME;0.0;0.0;0.0;0.0;0.63;0.89;1.5492424242424236;1.959471501082469;2.131144642891326;2.22;2.2535772357723576;2.275981641244546;2.36;2.464667356084108;2.49;2.9300000000000006;3.7815772103526144;4.120689723712977;6.324534883720927;6.476583850931677
RESOURCE JOB 0;0.0;0.0;0.0;34.9272;14.4144;36.5484;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;12.792000000000002;32.43472727272724;20.183270580530248;8.44631857699575;4.371683569746779;1.6519999999999868;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.13640000000001;42.84284945284003;17.06075054715997;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8002785246466573;0.43572147535338956;7.568000000000005;14.647128018064954;5.832735229798246;37.906136752136746;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;19.945800000000002;8.2316;2.1095757575757554;12.987852572755834;5.43517166966841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;18.276300000000003;7.5426;19.12462272727275;11.900745519129714;4.980237843874939;2.5776939097226403;0.9740756097560848;0.6499518027481912;2.437372587495716;3.036399999999972;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;36.918;9.01939999999999;11.220306060606045;16.474799725896254;10.060046109999021;5.206923926568308;1.9676260162601409;1.312898160670244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.855196543338543;2.72985573255092;17.740953538064005;1.2239941860465322;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9330414634146251;1.2898216230339017;4.83693691355144;6.025699689762092;1.45840031023792;25.33080000000004;49.02529999999999;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;30.410853030302917;20.49914696969708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
