LABELS;S_3;S_1;S_4;C_1;S_0;S_9;S_7;S_5;C_4;S_2;S_6;S_8;C_9;C_7;C_3;C_0;C_5;C_8;C_2;C_6
JOB ID;3;1;4;1;0;9;7;5;4;2;6;8;9;7;3;0;5;8;2;6
EVENT TYPE;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1
TIME;0.0;0.13999999999999993;0.20000000000000007;1.2146942168388553;1.32;1.4200000000000006;1.63;1.780000000000002;1.9850609756097573;2.08;2.2399999999999594;2.249999999999999;2.52625501202887;2.6597229219143577;3.1287444231994903;3.2308489367173117;3.4054303984259704;3.9259098786828406;4.25553982756193;4.281638636724853
RESOURCE JOB 0;0.0;0.0;0.0;0.0;7.353000000000037;15.441299999999956;11.02950000000014;15.078133536585312;6.980866463414571;10.459199999997253;0.16150000000064324;4.461518444266261;2.15550674465063;15.01806847114986;4.871406339935334;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;5.052600000000012;85.44739999999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.358399999998625;0.3342000000014629;3.654853809141958;3.9386380207207523;15.707530078039099;3.4194801577118312;5.846733152622988;17.430857793802573;11.039306987960714;0.0;0.0
RESOURCE JOB 3;2.1965999999999988;0.941400000000002;15.920552262201635;1.652247737798362;1.5690000000000097;3.2948999999999877;2.353500000000036;3.217406707317057;1.4895932926829083;2.5103999999993647;0.15690000000062554;4.334441138732977;2.094111506103303;7.358947355163735;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;6.65639406246289;0.6908059375371103;0.6559999999999961;1.3775999999999957;0.9840000000000142;1.3451999999999948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.33777926829265;3.860220731707336;6.5055999999983385;0.40660000000161745;11.232528789093983;5.4268052159439435;19.07041424225349;4.151569519634606;7.0984822330740585;0.0;0.0;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.492900000001967;11.224241138732975;6.57863327825568;23.11806979834421;5.032731471293403;8.605120247619794;25.654433581861184;16.2474601802503;1.28641030364048;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;2.977500000000025;4.07046036585365;1.8845396341463214;3.1759999999992488;0.19850000000073464;5.483661988773079;2.649338011226938;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.969957097032918;3.850549200196326;13.531270312076074;2.945715214989144;5.036675170294799;15.015833005410713;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;5.237399999999987;3.7410000000000494;5.114220731707299;2.367779268292658;3.990399999999042;0.24940000000095708;6.889800000000008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
