LABELS;S_14;S_0;S_7;S_12;S_13;S_9;S_11;S_3;C_7;S_6;C_0;C_12;S_4;C_9;S_8;C_6;S_1;S_5;C_14;S_2;C_3;S_10;C_11;C_1;C_4;C_10;C_13;C_8;C_5;C_2
JOB ID;14;0;7;12;13;9;11;3;7;6;0;12;4;9;8;6;1;5;14;2;3;10;11;1;4;10;13;8;5;2
EVENT TYPE;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1
TIME;0.03;0.46;0.52;0.66;1.25;1.41;1.5100000000000002;1.5780458103229347;1.88781234728783;1.92;1.9900000000000013;2.214;2.3700000000000006;2.5219207772795182;2.96;2.960172496406324;3.0100000000000007;3.0300000000000007;3.0310319917440656;3.403619422884763;3.403619422884763;3.51;4.478337730870713;4.689906542056075;4.826289978678039;4.86425268373245;4.939339122045343;4.9802474690663665;5.027141690485913;5.299658817294487
RESOURCE JOB 0;0.0;1.064400000000001;2.4835999999999974;10.466599999999998;2.8384;1.7740000000000054;1.2071326751288574;3.903058365757225;0.5710089591138896;1.2418000000000262;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3424000000000049;0.01766769865838569;6.378696821128742;0.0;1.8212354802128488;16.577941952506606;3.622058047493411;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.570087017753792;42.035540897097334;11.077742953665563;7.1410367415260225;1.9877272366489365;3.9315259100630726;2.141961050020825;2.4553814335274637;14.26899675969699;0.0
RESOURCE JOB 3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.689319455251905;2.1939104088615373;0.8337000000000145;5.216959999999958;5.973239999999966;4.392029671150837;36.110870328849316;0.012685385721031395;4.427671969334085;1.7772000000000503;0.07229102167174162;29.71012175915945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.425016890881885;4.109183109118121;0.0016180162913208562;0.4673819837086839;0.18760000000000332;0.00968008255932773;3.4948701040997427;0.0;0.9978498133409204;9.083007915567293;1.984515448918685;1.279276635514016;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05054695562429856;18.249332377271344;0.0;5.210520667104305;47.42918205804753;10.362640371859044;6.680060725743772;1.8594132935650407;3.6777337485655153;2.003690837089721;2.296878965129423;0.0;0.0
RESOURCE JOB 6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.9375000000000995;14.02463999999992;9.767160000000047;9.511759865470594;27.42814013452937;0.01079999999997483;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;8.5946;36.220099999999995;9.822400000000002;6.13900000000001;4.177332295724952;19.016567704275047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
