LABELS;S_6;S_3;S_2;S_4;S_8;C_6;C_3;C_4;S_9;S_1;C_8;C_2;S_5;S_7;C_5;C_9;S_0;C_7;C_1;C_0
JOB ID;6;3;2;4;8;6;3;4;9;1;8;2;5;7;5;9;0;7;1;0
EVENT TYPE;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;1;1;1
TIME;0.0;0.57;0.5700000000000001;0.6900000000000001;1.1;1.4795205019045496;2.1969733874605324;2.398211143695012;2.94;3.5400000000000005;3.6988372093023254;3.794505750174891;4.63;5.16;5.84029519394974;6.6362915601023005;6.636291560102305;6.85;6.990688254211067;8.64287927391803
RESOURCE JOB 0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.107476214833667;4.691953277939092;55.10057050722724;0.0
RESOURCE JOB 1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.7024953488371892;2.230033687739507;19.475370963423288;12.35430000000001;14.352137765308456;18.55467529501618;1.1368683772161603e-13;4.9815437340152755;3.2794432056599874;0.0;0.0
RESOURCE JOB 2;0.0;0.0;1.2011999999999858;1.3079000000000178;0.22012189110463876;18.08698724486635;5.073203834671247;13.658497067448742;15.126000000000005;4.0042860465116235;2.4118039153973925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 3;0.0;0.0;2.660400000000001;9.089700000000002;8.413969527223855;15.905930472776141;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 4;0.0;0.0;0.0;2.7962;2.588329822989044;4.893028679491804;1.372441497519152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.724700000000013;27.885299999999987;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 6;38.657399999999974;0.0;8.138400000000004;27.80619999999999;16.938000000000038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.152264796291547;45.74591116278765;2.8421709430404007e-13;12.281824040920526;0.0;0.0;0.0
RESOURCE JOB 8;0.0;0.0;0.0;0.0;9.791628949137383;18.510284447344354;5.191934110849587;13.978152492668684;15.480000000000004;4.097999999999985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RESOURCE JOB 9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.384000000000007;2.4842139534883643;1.496255979246925;13.067130067264706;8.289200000000008;10.639816833373942;12.449383166626049;0.0;0.0;0.0;0.0;0.0
